"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: path"
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,84.279249,8.275321,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/TestHelper.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,13.617438,4.661131,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelSortedJoinTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,10.240416,1.593482,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelPeekTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,10.885548,3.894540,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelCollectTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,17.850458,4.965184,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelMapTryTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,11.077949,4.607740,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelReduceTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.564026,1.461958,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelFromPublisherTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,5.278466,1.979923,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelFilterTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,19.232735,5.378846,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelFilterTryTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.691116,1.269526,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelMapTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.396702,0.405566,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelInvalid.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,10.158288,2.198044,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelReduceFullTest.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,22.051517,5.940050,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelDoOnNextTryTest.java
