"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: path"
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,0.507114,0.309893,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/TestModuleEntryPoint.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.449087,0.292980,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/ArrayBasedUnicodeEscaperTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.678696,0.631102,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/EscapersTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.322579,0.483560,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/ArrayBasedCharEscaperTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,2.049651,0.599456,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/UnicodeEscaperTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.259643,0.401946,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/ArrayBasedEscaperMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,2.387315,0.633652,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/EnumBiMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,7.301094,4.248516,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ForMapMultimapAsMapImplementsMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.553546,0.487596,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/HashMultimapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.470968,4.264946,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ForwardingSortedMapImplementsMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,7.337821,4.685795,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/SetsTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.820831,2.966030,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableSetTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.142501,2.793040,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableTableTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.433768,0.552882,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/PeekingIteratorTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.178524,0.514145,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/AbstractSequentialIteratorTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.434911,0.578221,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/AbstractMapEntryTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.646857,0.502052,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableMultimapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,4.403023,1.645747,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/EmptyImmutableTableTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.149151,0.588669,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ConstrainedBiMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,8.361422,3.834195,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ConstrainedMapImplementsMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,0.459261,0.159943,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/TestModuleEntryPoint.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.166410,0.440774,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableEnumMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,7.416174,4.379529,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableMultimapAsMapImplementsMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.940087,4.399245,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/MapsTransformValuesUnmodifiableIteratorTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,5.112481,1.903919,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/HashBasedTableTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,7.008309,5.519504,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ArrayTableTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,40.345283,16.197958,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/TableCollectionTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,4.468782,1.299456,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/MultisetsTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,5.618048,2.936718,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/RangeTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.210162,0.496294,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/HashMultisetTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,2.054394,0.813487,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ComparisonChainTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,4.385254,1.400801,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableListMultimapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.970314,0.705064,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/AbstractIteratorTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.362613,0.723793,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/CountTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,8.157862,4.233085,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/MultimapsTransformValuesAsMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,2.258081,1.126648,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/TreeMultimapNaturalTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.079941,0.524694,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/UnmodifiableListIteratorTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,3.527006,1.340975,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/Collections2Test_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,5.229761,2.261303,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/NewCustomTableTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.462113,0.418631,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/SetOperationsTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.703052,4.823602,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/UnmodifiableMultimapAsMapImplementsMapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.025396,0.327616,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/SortedListsTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,1.112375,0.488681,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/TablesTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,4.073943,1.296093,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/LinkedListMultimapTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,6.340788,3.034528,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableMultisetTest_gwt.java
"iguana.benchmark.AntlrBenchmark.benchmark","ss",1,10,2.520025,0.867461,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/TreeMultisetTest_gwt.java
