"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: path"
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"12,257493","0,991356","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/zipfs/Basic.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"37,512704","10,083087","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/zipfs/PathOps.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"37,830429","10,318572","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/zipfs/ZipFSTester.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,820330","0,596386","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/versionCheck/FailsWhenJvmtiVersionDiffers.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,999074","0,674953","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/gctest/Gctest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"4,676855","1,941800","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/gctest/BigHello.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,877415","0,606725","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/heapViewer/HeapViewerTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"5,166003","0,718523","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/HeapUser.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"11,430805","2,692430","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/Context.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"1,602978","0,727516","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/Hello.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,457671","0,558771","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/waiters/WaitersTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"15,910339","4,986699","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/DemoRun.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,225505","0,770082","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/minst/MinstExample.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"3,233940","0,934596","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/minst/MinstTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,338899","0,744697","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/heapTracker/HeapTrackerTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,655959","0,763265","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/mtrace/TraceJFrame.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"3,178536","0,541789","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/mtrace/JFrameCreateTime.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,426007","0,615364","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/CpuTimesTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"3,090028","1,066951","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/HeapBinaryFormatTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"6,177196","1,879782","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/DefineClass.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"3,294545","1,130364","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/HeapSitesTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,194616","0,660309","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/HeapDumpTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,457802","0,616028","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/MonitorTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"3,099074","1,020194","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/HeapAllTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,401017","0,928774","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/CpuTimesDefineClassTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"9,681221","5,086827","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/HelloWorld.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,711051","0,977175","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/CpuSamplesTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,216325","0,702706","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/CpuOldTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"3,304038","1,143056","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/StackMapTableTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"14,644969","3,487929","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/UseAllBytecodes.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"3,491114","0,873536","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/hprof/OptionsTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,698498","0,867845","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/demo/jvmti/compiledMethodLoad/CompiledMethodLoadTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,671167","1,050573","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/Safe.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"7,012708","1,282711","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/URLClassPath/ClassnameCharTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"3,464641","0,818757","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/URLClassPath/FileLoaderTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"16,778538","3,137214","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/CopyMemory.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"6,683921","2,344662","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/ClassLoaderUtil/Test.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"4,797492","1,332846","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/Encode/GetBytes.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"4,876258","0,972477","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/Encode/DecodeBuffer.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,823374","0,796628","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/Encode/Encode.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"12,618936","4,924395","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/Version/Version.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"20,734179","5,813090","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/JarIndex/metaInfFilenames/Basic.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"1,938454","0,664268","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/JarIndex/metaInfFilenames/jarA/a/A.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"1,580915","0,607137","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/JarIndex/metaInfFilenames/jarA/com/message/spi/MessageService.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"1,616851","0,617854","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/JarIndex/metaInfFilenames/jarC/my/impl/StandardMessageService.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,160104","0,556665","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/JarIndex/metaInfFilenames/jarB/b/B.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,"2,364264","0,781704","ms/op",/Users/afroozeh/workspace/jdk7u-jdk/test/sun/misc/Cleaner/ExitOnThrow.java
