"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: path"
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,91.402380,25.345299,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/TestHelper.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,13.784992,0.752314,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelSortedJoinTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,12.915979,1.551040,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelPeekTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,11.064116,1.804700,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelCollectTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,22.360020,6.590200,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelMapTryTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,12.923313,3.599400,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelReduceTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,13.669022,1.000585,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelFromPublisherTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,9.297212,2.111115,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelFilterTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,25.115263,2.006406,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelFilterTryTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,11.885057,1.602104,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelMapTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,3.288449,0.918940,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelInvalid.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,11.142746,1.178626,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelReduceFullTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,28.388383,4.151698,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelDoOnNextTryTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,20.128740,1.574654,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelJoinTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,23.227635,3.696673,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelRunOnTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,54.555065,22.705572,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/parallel/ParallelFlowableTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,6.626283,1.338547,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/Retry.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,13.547363,1.711412,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/TransformerTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,50.612552,18.839030,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/plugins/RxJavaPluginsTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,11.112945,1.228461,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/disposables/DisposablesTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,43.954212,27.338737,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/disposables/CompositeDisposableTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,16.353997,0.923102,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/disposables/SequentialDisposableTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,15.904997,1.092849,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/disposables/SerialDisposableTests.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,7.069741,1.747882,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/disposables/FutureDisposableTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,22.795600,1.454907,"ms/op",/Users/afroozeh/workspace/RxJava/src/test/java/io/reactivex/internal/operators/mixed/FlowableConcatMapCompletableTest.java
