"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: path"
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,1.697300,0.710582,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/TestModuleEntryPoint.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,5.109888,1.508279,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/ArrayBasedUnicodeEscaperTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,5.482963,1.485931,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/EscapersTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,4.035500,1.077153,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/ArrayBasedCharEscaperTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,6.627285,1.403274,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/UnicodeEscaperTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,4.079627,1.031721,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/escape/ArrayBasedEscaperMapTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,6.833664,1.426835,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/EnumBiMapTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,24.464992,1.855867,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ForMapMultimapAsMapImplementsMapTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,4.929062,1.237288,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/HashMultimapTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,26.045031,3.241406,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ForwardingSortedMapImplementsMapTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,34.107163,8.893359,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/SetsTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,24.009902,3.845177,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableSetTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,22.563006,7.715409,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableTableTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,6.096067,2.043515,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/PeekingIteratorTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,4.916205,2.331487,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/AbstractSequentialIteratorTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,5.115126,1.246771,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/AbstractMapEntryTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,5.725532,1.433143,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/ImmutableMultimapTest_gwt.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,10,12.754505,2.043781,"ms/op",/Users/afroozeh/workspace/guava/guava-gwt/test/com/google/common/collect/EmptyImmutableTableTest_gwt.java
