"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: path"
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,2.995007,0.854319,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/AllTests.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,4.010760,0.939632,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/AllTests.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,1.393492,0.469692,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/OverrideTestCase.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,2.780278,0.514458,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/AssertionFailedErrorTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,1.555178,0.671176,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/Failure.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,10.068572,1.351717,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/AssertTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,1.448922,0.450261,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/NoTestCases.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,4.174106,0.530496,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/ComparisonFailureTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,1.379633,0.276397,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/ThreeTestCases.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,1.051993,0.361816,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/NotPublicTestCase.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,13.158549,0.639119,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/TestCaseTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,1.193109,0.542715,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/InheritedTestCase.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,1.368996,0.502376,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/OneTestCase.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,6.042299,0.983316,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/TestListenerTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,12.969006,0.645964,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/SuiteTest.java
"iguana.benchmark.IguanaBenchmark.benchmarkParse","ss",1,15,4.749177,1.189547,"ms/op",/Users/afroozeh/workspace/junit4/src/test/java/junit/tests/framework/FloatAssertTest.java
